"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Ecommerce App","Register","Complete the form with false information; do not check the terms and conditions.","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user cannot register with mismatch password","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user can register successfully","0","0","1","0","0"
"Ecommerce App","Home Page","Verify that the register link is displayed on the home page","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user cannot register with invalid email","1","0","0","0","0"
"Ecommerce App","Home Page","Verifique que el campo de búsqueda se muestre en la página principal.","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user cannot register with missing data","0","0","0","1","0"
"Ecommerce App","Home Page","V","0","0","1","0","0"
"Ecommerce App","Home Page","Verify that the top header menu options are displayed on the home page","0","0","1","0","0"
"Ecommerce App","Cart","Verify that the cart total calculation is correct","0","1","0","0","0"
"Ecommerce App","Cart","Verify that adding items to the cart works correctly","0","1","0","0","0"
"Ecommerce App","Login","Verify that the user can login successfully with valid credentials","0","0","1","0","0"
